match_day,match_date,home_team,away_team,home_team_score,away_team_score,HT_num_goals_firsthalf,HT_num_goals_secondhalf,AT_num_goals_firsthalf,AT_num_goals_secondhalf,match_link,home_posession,away_posession,home_shots,away_shots,home_shots_ontarget,away_shots_ontarget,home_fouls,away_fouls,home_corners,away_corners,home_saves,away_saves,home_offsides,away_offsides,home_yellow,away_yellow,home_red,away_red
Sun,May 19,Eibar,Barça,2,2,2,0,2,0,https://www.msn.com/en-us/sports/soccer/la-liga/eibar-v-barcelona/game-center/sp-id-80402000001009693,39,61,18,8,8,3,17,5,5,2,1,6,,,4,2,0,0
Sun,May 19,Real Madrid,Betis,0,2,0,0,0,2,https://www.msn.com/en-us/sports/soccer/la-liga/real-madrid-v-real-betis/game-center/sp-id-80402000001009694,47,53,9,9,2,7,18,10,1,5,5,2,1,4,4,1,0,0
Sat,May 18,Alavés,Girona,2,1,1,1,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/alav%c3%a9s-v-girona/game-center/sp-id-80402000001009686,43,57,14,13,7,4,13,10,6,4,3,5,1,4,3,3,0,0
Sat,May 18,Celta,Rayo,2,2,0,2,1,1,https://www.msn.com/en-us/sports/soccer/la-liga/celta-de-vigo-v-rayo-vallecano/game-center/sp-id-80402000001009687,45,55,14,11,5,4,16,20,3,5,2,3,1,2,0,4,0,0
Sat,May 18,Huesca,Leganés,2,1,1,2,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/huesca-v-legan%c3%a9s/game-center/sp-id-80402000001009690,50,50,15,9,6,1,18,12,4,6,1,4,1,2,0,1,0,0
Sat,May 18,Espanyol,Real Sociedad,2,0,0,2,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/espanyol-v-real-sociedad/game-center/sp-id-80402000001009688,37,63,10,11,4,2,13,13,4,5,2,2,3,1,3,2,0,0
Sat,May 18,Getafe,Villarreal,2,2,1,1,1,1,https://www.msn.com/en-us/sports/soccer/la-liga/getafe-v-villarreal/game-center/sp-id-80402000001009689,41,59,17,8,5,4,16,20,6,4,2,3,6,4,2,3,0,0
Sat,May 18,Sevilla FC,Athletic,2,0,1,1,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/sevilla-v-athletic-club/game-center/sp-id-80402000001009691,47,53,9,10,3,1,14,19,2,3,1,2,,,4,2,0,0
Sat,May 18,Valladolid,Valencia,0,2,0,0,1,1,https://www.msn.com/en-us/sports/soccer/la-liga/real-valladolid-v-valencia-cf/game-center/sp-id-80402000001009695,50,50,19,9,4,6,12,10,8,2,4,4,1,3,1,4,0,0
Sat,May 18,Levante,Atlético,2,2,2,0,0,2,https://www.msn.com/en-us/sports/soccer/la-liga/levante-v-atl%c3%a9tico-de-madrid/game-center/sp-id-80402000001009692,46,54,17,17,7,8,9,7,6,4,6,5,,,0,1,0,1
Sun,May 12,Athletic,Celta,3,1,3,0,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/athletic-club-v-celta-de-vigo/game-center/sp-id-80402000001009676,52,48,8,4,4,2,16,18,3,3,1,1,1,1,4,3,0,0
Sun,May 12,Atlético,Sevilla FC,1,1,1,0,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/atl%c3%a9tico-de-madrid-v-sevilla/game-center/sp-id-80402000001009677,48,52,11,11,4,5,16,12,5,7,4,3,7,5,5,4,0,0
Sun,May 12,Barça,Getafe,2,0,1,0,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/barcelona-v-getafe/game-center/sp-id-80402000001009678,79,21,13,11,,,9,13,4,3,,,1,5,1,3,0,0
Sun,May 12,Betis,Huesca,2,1,1,1,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/real-betis-v-huesca/game-center/sp-id-80402000001009679,62,38,17,9,8,2,13,15,9,2,1,6,1,3,3,5,0,1
